0,1,2,3,4,5
name,mean,std,min,max,conf
peak_infections,618.1,56.63717860204549,487.0,752.0,"(np.float64(601.8404754829234), np.float64(634.3595245170767))"
peak_times,183043.46592964712,26366.99888389911,141785.27822713408,254357.7722571604,"(np.float64(175473.9704961474), np.float64(190612.96136314684))"
attack_rates,0.641204,0.02227233225326885,0.5922,0.6768,"(np.float64(0.6348100103758165), np.float64(0.6475979896241835))"
